num_heads,hidden_dim,num_layers,dropout,test_accuracy,test_precision,test_recall,test_f1score
1,8,6,0.1,0.7234042286872864,0.0,0.0,0.0
1,4,2,0.1,0.7234042286872864,0.0,0.0,0.0
1,4,2,0.2,0.7234042286872864,0.0,0.0,0.0
1,8,6,0.2,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,4,2,0.3,0.7234042286872864,0.0,0.0,0.0
1,8,6,0.3,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,4,4,0.1,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,16,2,0.1,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,16,2,0.2,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,4,4,0.2,0.7234042286872864,0.0,0.0,0.0
1,16,2,0.3,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,4,4,0.3,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,16,4,0.1,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,16,4,0.2,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,4,6,0.1,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,16,4,0.3,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,4,6,0.2,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,16,6,0.1,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,4,6,0.3,0.7234042286872864,0.0,0.0,0.0
1,16,6,0.2,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,8,2,0.1,0.7234042286872864,0.0,0.0,0.0
1,8,2,0.2,0.585106372833252,0.0,0.0,0.0
1,16,6,0.3,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,8,2,0.3,0.6595744490623474,0.3125,0.19230769574642181,0.2380952388048172
1,32,2,0.1,0.7234042286872864,0.0,0.0,0.0
1,32,2,0.2,0.7234042286872864,0.0,0.0,0.0
1,8,4,0.1,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,32,2,0.3,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,8,4,0.2,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,32,4,0.1,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,8,4,0.3,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,32,4,0.2,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,32,4,0.3,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,8,6,0.1,0.7234042286872864,0.0,0.0,0.0
1,32,6,0.1,0.7234042286872864,0.0,0.0,0.0
1,8,6,0.2,0.7234042286872864,0.0,0.0,0.0
1,32,6,0.2,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,8,6,0.3,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,32,6,0.3,0.7234042286872864,0.0,0.0,0.0
1,16,2,0.1,0.6702127456665039,0.0,0.0,0.0
2,4,2,0.1,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,16,2,0.2,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
2,4,2,0.2,0.6914893388748169,0.3636363744735718,0.1538461595773697,0.21621622145175934
1,16,2,0.3,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
2,4,2,0.3,0.7234042286872864,0.0,0.0,0.0
1,16,4,0.1,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
2,4,4,0.1,0.7234042286872864,0.0,0.0,0.0
1,16,4,0.2,0.7234042286872864,0.0,0.0,0.0
2,4,4,0.2,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,16,4,0.3,0.28723403811454773,0.2795698940753937,1.0,0.43697479367256165
2,4,4,0.3,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,16,6,0.1,0.7234042286872864,0.0,0.0,0.0
2,4,6,0.1,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,16,6,0.2,0.7234042286872864,0.0,0.0,0.0
2,4,6,0.2,0.7234042286872864,0.0,0.0,0.0
1,16,6,0.3,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
2,4,6,0.3,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,32,2,0.1,0.6595744490623474,0.0,0.0,0.0
2,8,2,0.1,0.7234042286872864,0.0,0.0,0.0
1,32,2,0.2,0.6063829660415649,0.29629629850387573,0.3076923191547394,0.30188679695129395
2,8,2,0.2,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,32,2,0.3,0.7234042286872864,0.0,0.0,0.0
2,8,2,0.3,0.7021276354789734,0.0,0.0,0.0
1,32,4,0.1,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
2,8,4,0.1,0.7234042286872864,0.0,0.0,0.0
1,32,4,0.2,0.7234042286872864,0.0,0.0,0.0
2,8,4,0.2,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,32,4,0.3,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
2,8,4,0.3,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
1,32,6,0.1,0.27659574151039124,0.27659574151039124,1.0,0.4333333373069763
2,8,6,0.1,0.7234042286872864,0.0,0.0,0.0
1,32,6,0.2,0.7234042286872864,0.0,0.0,0.0
2,8,6,0.2,0.7234042286872864,0.0,0.0,0.0
1,32,6,0.3,0.7234042286872864,0.0,0.0,0.0
